id,short_title,long_title,year,genre,num_words
1,Twelfth Night,"Twelfth Night, Or What You Will",1599,comedy,19837
2,All's Well That Ends Well,All's Well That Ends Well,1602,comedy,22997
3,Antony and Cleopatra,Antony and Cleopatra,1606,tragedy,24905
4,As You Like It,As You Like It,1599,comedy,21690
5,Comedy of Errors,The Comedy of Errors,1589,comedy,14692
6,Coriolanus,Coriolanus,1607,tragedy,27577
7,Cymbeline,"Cymbeline, King of Britain",1609,history,27565
8,Hamlet,"Tragedy of Hamlet, Prince of Denmark, The",1600,tragedy,30558
9,"Henry IV, Part I","History of Henry IV, Part I",1597,history,24579
10,"Henry IV, Part II","History of Henry IV, Part II",1597,history,25692
11,Henry V,History of Henry V,1598,history,26119
12,"Henry VI, Part I","History of Henry VI, Part I",1591,history,21575
13,"Henry VI, Part II","History of Henry VI, Part II",1590,history,25411
14,"Henry VI, Part III","History of Henry VI, Part III",1590,history,24284
15,Henry VIII,History of Henry VIII,1612,history,24629
16,Julius Caesar,The Tragedy of Julius Caesar,1599,tragedy,19703
17,King John,History of King John,1596,history,20760
18,King Lear,The Tragedy of King Lear,1605,tragedy,26119
19,Lover's Complaint,A Lover's Complaint,1609,poem,2559
20,Love's Labour's Lost,Love's Labour's Lost,1594,comedy,21450
21,Macbeth,The Tragedy of Macbeth,1605,tragedy,17121
22,Measure for Measure,Measure for Measure,1604,comedy,21773
23,Merchant of Venice,"Merchant of Venice, The",1596,comedy,21291
24,Merry Wives of Windsor,"Merry Wives of Windsor, The",1600,comedy,21845
25,Midsummer Night's Dream,A Midsummer Night's Dream,1595,comedy,16511
26,Much Ado about Nothing,Much Ado about Nothing,1598,comedy,21157
27,Othello,"The Tragedy of Othello, Moor of Venice",1604,tragedy,26450
28,Passionate Pilgrim,The Passionate Pilgrim,1598,poem,3124
29,Pericles,"Pericles, Prince of Tyre",1608,history,18529
30,Phoenix and the Turtle,The Phoenix and the Turtle,1601,poem,353
31,Rape of Lucrece,The Rape of Lucrece,1594,poem,15003
32,Richard II,History of Richard II,1595,history,22411
33,Richard III,History of Richard III,1592,history,29278
34,Romeo and Juliet,The Tragedy of Romeo and Juliet,1594,tragedy,24553
35,Sonnets,Sonnets,1609,,17515
36,Taming of the Shrew,The Taming of the Shrew,1593,comedy,21055
37,Tempest,The Tempest,1611,comedy,16628
38,Timon of Athens,The Tragedy of Timon of Athens,1607,tragedy,18206
39,Titus Andronicus,Titus Andronicus,1593,tragedy,20710
40,Troilus and Cressida,Troilus and Cressida,1601,tragedy,26089
41,Two Gentlemen of Verona,Two Gentlemen of Verona,1594,comedy,17129
42,Venus and Adonis,Venus and Adonis,1593,poem,9870
43,The Winter's Tale,The Winter's Tale,1610,comedy,24914
